shipment_id,carrier,ship_date,status,origin,destination,freight_cost,cost_flag
SH00001,DHL,2024-01-27,delayed,Pune,Bangalore,89.12,False
SH00002,BLUEDART,2024-06-15,in_transit,Hyderabad,Delhi,149.2,False
SH00003,DHL,2024-02-25,in_transit,Delhi,Chennai,95.99,False
SH00004,FEDEX,2024-04-06,in_transit,Mumbai,Pune,423.23,False
SH00005,BLUEDART,2024-03-15,,Mumbai,Delhi,154.76,False
SH00006,FEDEX,2024-06-20,pending,Chennai,Mumbai,341.62,False
SH00007,DHL,2024-06-12,in_transit,Delhi,Pune,358.08,False
SH00008,DHL,2024-02-24,delayed,Pune,Chennai,444.37,False
SH00009,BLUEDART,2024-03-04,delayed,Delhi,Mumbai,168.23,False
SH00010,DHL,2024-01-13,delivered,Chennai,Pune,332.35,False
SH00011,FEDEX,2024-05-21,delivered,Hyderabad,Chennai,356.13,False
SH00012,BLUEDART,2024-02-10,pending,Pune,Delhi,444.13,False
SH00013,DHL,2024-02-11,,Pune,Bangalore,465.1,False
SH00014,DHL,2024-03-02,delivered,Pune,Mumbai,88.54,False
SH00015,DHL,2024-02-12,,Chennai,Pune,322.97,False
SH00016,BLUEDART,2024-06-20,delayed,Chennai,Mumbai,454.83,False
SH00018,DHL,2024-05-04,delivered,Hyderabad,Bangalore,375.51,False
SH00019,FEDEX,2024-06-17,in_transit,Delhi,Mumbai,235.0,False
SH00020,BLUEDART,2024-03-27,delivered,Mumbai,Delhi,161.9,False
SH00021,FEDEX,2024-01-20,,Delhi,Mumbai,435.19,False
SH00022,DHL,2024-05-04,,Mumbai,Bangalore,230.47,False
SH00023,FEDEX,2024-05-22,delayed,Delhi,Chennai,119.66,False
SH00024,BLUEDART,2024-05-29,,Mumbai,Chennai,289.01,False
SH00025,DHL,2024-03-01,delayed,Hyderabad,Delhi,160.8,False
SH00026,BLUEDART,2024-03-07,pending,Hyderabad,Pune,191.38,False
SH00028,DHL,2024-04-22,pending,Chennai,Mumbai,186.13,False
SH00029,BLUEDART,2024-01-27,delivered,Hyderabad,Mumbai,169.01,False
SH00030,FEDEX,2024-02-22,,Hyderabad,Bangalore,168.79,False
SH00031,DHL,2024-03-26,pending,Delhi,Chennai,490.91,False
SH00032,BLUEDART,2024-06-25,delayed,Mumbai,Delhi,66.21,False
SH00033,DHL,2024-01-11,in_transit,Pune,Mumbai,356.93,False
SH00034,FEDEX,2024-03-01,,Hyderabad,Bangalore,414.85,False
SH00035,FEDEX,2024-06-28,,Delhi,Mumbai,67.43,False
SH00036,FEDEX,2024-06-17,in_transit,Pune,Bangalore,175.37,False
SH00037,BLUEDART,2024-01-30,in_transit,Delhi,Chennai,130.36,False
SH00038,FEDEX,2024-05-10,delayed,Pune,Mumbai,135.54,False
SH00039,BLUEDART,2024-06-19,delayed,Chennai,Mumbai,191.26,False
SH00040,FEDEX,2024-03-16,in_transit,Delhi,Chennai,239.2,False
SH00041,BLUEDART,2024-01-01,in_transit,Hyderabad,Mumbai,243.45,False
SH00042,FEDEX,2024-02-13,in_transit,Chennai,Pune,281.95,False
SH00044,BLUEDART,2024-04-08,in_transit,Hyderabad,Bangalore,116.41,False
SH00045,DHL,2024-06-27,delivered,Delhi,Mumbai,300.83,False
SH00046,FEDEX,2024-04-23,pending,Hyderabad,Pune,451.41,False
SH00047,DHL,2024-03-04,in_transit,Delhi,Pune,394.62,False
SH00048,DHL,2024-03-22,delivered,Pune,Bangalore,112.27,False
SH00049,DHL,2024-04-29,in_transit,Delhi,Pune,424.8,False
SH00050,DHL,2024-03-31,in_transit,Hyderabad,Chennai,434.05,False
SH00051,BLUEDART,2024-03-10,delivered,Hyderabad,Bangalore,224.99,False
SH00052,FEDEX,2024-05-31,delivered,Chennai,Delhi,87.78,False
SH00053,FEDEX,2024-03-24,in_transit,Delhi,Chennai,175.22,False
SH00054,FEDEX,2024-03-30,delivered,Mumbai,Delhi,401.55,False
SH00055,DHL,2024-05-01,delayed,Mumbai,Bangalore,476.49,False
SH00056,BLUEDART,2024-02-11,delivered,Hyderabad,Delhi,310.41,False
SH00057,FEDEX,2024-06-25,in_transit,Delhi,Mumbai,95.86,False
SH00058,DHL,2024-04-19,delivered,Hyderabad,Delhi,277.68,False
SH00059,DHL,2024-04-27,in_transit,Delhi,Chennai,129.26,False
SH00060,BLUEDART,2024-05-31,,Delhi,Pune,160.47,False
SH00062,FEDEX,2024-05-12,delivered,Hyderabad,Mumbai,158.61,False
SH00063,FEDEX,2024-01-24,in_transit,Delhi,Pune,361.3,False
SH00064,BLUEDART,2024-05-20,pending,Pune,Chennai,254.19,False
SH00065,FEDEX,2024-05-03,delayed,Mumbai,Bangalore,489.47,False
SH00067,DHL,2024-05-26,delayed,Delhi,Bangalore,248.21,False
SH00068,FEDEX,2024-01-19,pending,Mumbai,Delhi,74.12,False
SH00069,DHL,2024-06-07,delayed,Mumbai,Pune,221.17,False
SH00070,FEDEX,2024-01-26,in_transit,Pune,Delhi,331.48,False
SH00072,FEDEX,2024-06-09,,Mumbai,Bangalore,470.15,False
SH00073,FEDEX,2024-03-19,,Chennai,Delhi,306.14,False
