shipment_id,carrier,ship_date,status,origin,destination,freight_cost
SH00001,DHL,2024-01-27,Delayed,Pune,Bangalore,89.12
SH00002,BLUEDART,2024-06-15,IN_TRANSIT,Hyderabad,Delhi,149.2
SH00003,DHL,2024-02-25,In Transit,Delhi,Chennai,95.99
SH00004,FEDEX,2024-04-06,in-transit,Mumbai,Pune,423.23
SH00005,BLUEDART,2024-03-15,,Mumbai,Delhi,154.76
SH00006,FEDEX,2024-06-20,pending,Chennai,Mumbai,341.62
SH00007,DHL,2024-06-12,in_transit,Delhi,Pune,358.08
SH00008,DHL,2024-02-24,DELAYED,Pune,Chennai,444.37
SH00009,BLUEDART,2024-03-04,Delayed,Delhi,Mumbai,168.23
SH00010,DHL,2024-01-13,DELIVERED,Chennai,Pune,332.35
SH00011,FEDEX,2024-05-21,delivered,Hyderabad,Chennai,356.13
SH00012,BLUEDART,2024-02-10,Pending,Pune,Delhi,444.13
SH00013,DHL,2024-02-11,,Pune,Bangalore,465.1
SH00014,DHL,2024-03-02,Delivered,Pune,Mumbai,88.54
SH00015,DHL,2024-02-12,,Chennai,Pune,322.97
SH00016,BLUEDART,2024-06-20,delayed,Chennai,Mumbai,454.83
SH00017,DHL,not-a-date,Pending,Hyderabad,Pune,334.0
SH00018,DHL,2024-05-04,DELIVERED,Hyderabad,Bangalore,375.51
SH00019,FEDEX,2024-06-17,IN_TRANSIT,Delhi,Mumbai,235.0
SH00020,BLUEDART,2024-03-27,Delivered,Mumbai,Delhi,161.9
SH00021,FEDEX,2024-01-20,,Delhi,Mumbai,435.19
SH00022,DHL,2024-05-04,,Mumbai,Bangalore,230.47
SH00023,FEDEX,2024-05-22,delayed,Delhi,Chennai,119.66
SH00024,BLUEDART,2024-05-29,,Mumbai,Chennai,289.01
SH00025,DHL,2024-03-01,DELAYED,Hyderabad,Delhi,160.8
SH00026,BLUEDART,2024-03-07,Pending,Hyderabad,Pune,191.38
,FEDEX,2024-06-08,Delivered,Pune,Delhi,82.97
SH00028,DHL,2024-04-22,Pending,Chennai,Mumbai,186.13
SH00029,BLUEDART,2024-01-27,DELIVERED,Hyderabad,Mumbai,169.01
SH00030,FEDEX,2024-02-22,,Hyderabad,Bangalore,168.79
SH00031,DHL,2024-03-26,pending,Delhi,Chennai,490.91
SH00032,BLUEDART,2024-06-25,Delayed,Mumbai,Delhi,66.21
SH00033,DHL,2024-01-11,in_transit,Pune,Mumbai,356.93
SH00034,FEDEX,2024-03-01,,Hyderabad,Bangalore,414.85
SH00035,FEDEX,2024-06-28,,Delhi,Mumbai,67.43
SH00036,FEDEX,2024-06-17,In Transit,Pune,Bangalore,175.37
SH00037,BLUEDART,2024-01-30,in-transit,Delhi,Chennai,130.36
SH00038,FEDEX,2024-05-10,DELAYED,Pune,Mumbai,135.54
SH00039,BLUEDART,2024-06-19,DELAYED,Chennai,Mumbai,191.26
SH00040,FEDEX,2024-03-16,in_transit,Delhi,Chennai,239.2
SH00041,BLUEDART,2024-01-01,in_transit,Hyderabad,Mumbai,243.45
SH00042,FEDEX,2024-02-13,in-transit,Chennai,Pune,281.95
SH00043,DHL,not-a-date,in_transit,Pune,Bangalore,492.77
SH00044,BLUEDART,2024-04-08,in_transit,Hyderabad,Bangalore,116.41
SH00045,DHL,2024-06-27,delivered,Delhi,Mumbai,300.83
SH00046,FEDEX,2024-04-23,Pending,Hyderabad,Pune,451.41
SH00047,DHL,2024-03-04,in-transit,Delhi,Pune,394.62
SH00048,DHL,2024-03-22,Delivered,Pune,Bangalore,112.27
SH00049,DHL,2024-04-29,in_transit,Delhi,Pune,424.8
SH00050,DHL,2024-03-31,IN_TRANSIT,Hyderabad,Chennai,434.05
SH00051,BLUEDART,2024-03-10,delivered,Hyderabad,Bangalore,224.99
SH00052,FEDEX,2024-05-31,delivered,Chennai,Delhi,87.78
SH00053,FEDEX,2024-03-24,IN_TRANSIT,Delhi,Chennai,175.22
SH00054,FEDEX,2024-03-30,Delivered,Mumbai,Delhi,401.55
SH00055,DHL,2024-05-01,DELAYED,Mumbai,Bangalore,476.49
SH00056,BLUEDART,2024-02-11,Delivered,Hyderabad,Delhi,310.41
SH00057,FEDEX,2024-06-25,in_transit,Delhi,Mumbai,95.86
SH00058,DHL,2024-04-19,Delivered,Hyderabad,Delhi,277.68
SH00059,DHL,2024-04-27,IN_TRANSIT,Delhi,Chennai,129.26
SH00060,BLUEDART,2024-05-31,,Delhi,Pune,160.47
SH00061,FEDEX,not-a-date,,Hyderabad,Pune,196.26
SH00062,FEDEX,2024-05-12,Delivered,Hyderabad,Mumbai,158.61
SH00063,FEDEX,2024-01-24,IN_TRANSIT,Delhi,Pune,361.3
SH00064,BLUEDART,2024-05-20,Pending,Pune,Chennai,254.19
SH00065,FEDEX,2024-05-03,DELAYED,Mumbai,Bangalore,489.47
SH00066,DHL,not-a-date,Delayed,Pune,Bangalore,106.96
SH00067,DHL,2024-05-26,delayed,Delhi,Bangalore,248.21
SH00068,FEDEX,2024-01-19,pending,Mumbai,Delhi,74.12
SH00069,DHL,2024-06-07,Delayed,Mumbai,Pune,221.17
SH00070,FEDEX,2024-01-26,in_transit,Pune,Delhi,331.48
,BLUEDART,2024-04-25,delayed,Mumbai,Bangalore,181.07
SH00072,FEDEX,2024-06-09,,Mumbai,Bangalore,470.15
SH00073,FEDEX,2024-03-19,,Chennai,Delhi,306.14
SH00074,BLUEDART,2024-05-06,DELAYED,Delhi,Chennai,67.94
SH00075,DHL,2024-06-21,DELAYED,Chennai,Delhi,68.1
SH00076,FEDEX,2024-05-05,delayed,Chennai,Pune,206.58
SH00077,FEDEX,2024-04-12,Delayed,Delhi,Pune,66.51
SH00078,FEDEX,2024-05-18,delivered,Hyderabad,Delhi,134.41
SH00079,DHL,2024-03-14,Pending,Chennai,Mumbai,268.12
SH00080,BLUEDART,2024-05-21,in_transit,Chennai,Mumbai,496.52
SH00081,DHL,2024-03-10,delayed,Delhi,Chennai,491.11
SH00082,BLUEDART,2024-03-11,,Hyderabad,Bangalore,236.72
SH00083,FEDEX,2024-04-24,In Transit,Pune,Chennai,199.6
SH00084,DHL,2024-04-15,Pending,Chennai,Pune,262.84
SH00085,BLUEDART,2024-02-02,DELAYED,Chennai,Pune,199.4
SH00086,FEDEX,2024-06-16,Delivered,Mumbai,Bangalore,261.27
SH00087,BLUEDART,2024-05-16,In Transit,Mumbai,Chennai,332.06
